Lambda,LambdaNM,timeSteps,defect maxRMS,defect maxValue,,,,,,,,,,,,,Lambda,LambdaNM,timeSteps,maxRMS,maxValue
1,480,4000,0.09490624,2.714895,,,,,,,,,,,,,1,480,4000,0.09898928,2.944617
1.15,552,4000,0.06322392,1.202968,,,,,,,,,,,,,1.15,552,4000,0.06583226,1.302475
1.3,624,4000,0.07223431,1.567948,,,,,,,,,,,,,1.3,624,4000,0.08469102,2.155364
1.45,695.9999,4000,0.06927243,1.442,,,,,,,,,,,,,1.45,695.9999,4000,0.07269028,1.58781
1.6,767.9999,4000,0.06893509,1.427993,,,,,,,,,,,,,1.6,767.9999,4000,0.0702564,1.483258
1.75,839.9999,4000,0.0734188,1.621358,,,,,,,,,,,,,1.75,839.9999,4000,0.07706212,1.784541
1.9,911.9999,4000,0.08837222,2.347317,,,,,,,,,,,,,1.9,911.9999,4000,0.09217647,2.553245
2.05,984,4000,0.04730737,0.6730814,,,,,,,,,,,,,2.05,984,4000,0.04344927,0.5673538
2.2,1056,4000,0.06340531,1.208464,,,,,,,,,,,,,2.2,1056,4000,0.06548861,1.28913
2.35,1128,4000,0.05808968,1.014122,,,,,,,,,,,,,2.35,1128,4000,0.05738586,0.9896083
2.5,1200,4000,0.06534497,1.289871,,,,,,,,,,,,,2.5,1200,4000,0.06923632,1.440885
2.65,1272,4000,0.02702637,0.2195349,,,,,,,,,,,,,2.65,1272,4000,0.02856302,0.2451619
2.8,1344,4000,0.04391071,0.5832179,,,,,,,,,,,,,2.8,1344,4000,0.03444998,0.356675
2.950001,1416,4000,0.05998226,1.092662,,,,,,,,,,,,,2.950001,1416,4000,0.05251589,0.8287575
3.100001,1488,4000,0.05534177,0.9446871,,,,,,,,,,,,,3.100001,1488,4000,0.04641915,0.6475034
3.250001,1560,4000,0.06042545,1.10456,,,,,,,,,,,,,3.250001,1560,4000,0.05289883,0.8408919
3.400001,1632,4000,0.09670849,2.812452,,,,,,,,,,,,,3.400001,1632,4000,0.1054755,3.34315
3.550001,1704,4000,0.09993923,3.019376,,,,,,,,,,,,,3.550001,1704,4000,0.1069842,3.439431
3.700001,1776,4000,0.06498861,1.269194,,,,,,,,,,,,,3.700001,1776,4000,0.05695008,0.9746171
3.850001,1848,4000,0.05383842,0.8734708,,,,,,,,,,,,,3.850001,1848,4000,0.04588827,0.6327734
