lambda,lambda nm, numTimeSteps,monitorName,maxValue,norm max value, maxRMS,norm RMS,,RMS max value,max value
2.66,638.4,2000,monitor_0,0.2567255,0.135452611,0.0316333,0.368123697,,0.08593117,1.895316
2.86,686.4,2000,monitor_0,0.6724014,0.354770075,0.0511977,0.59579894,,,
3.06,734.4,2000,monitor_0,0.7103101,0.374771331,0.05262125,0.612365106,,,
3.26,782.4,2000,monitor_0,0.7258729,0.382982521,0.05317774,0.618841103,,,
3.46,830.4,2000,monitor_0,1.895316,1,0.08593117,1,,,
3.66,878.4,2000,monitor_0,0.9887837,0.521698598,0.06208386,0.722483588,,,
3.86,926.4,2000,monitor_0,0.5388623,0.284312642,0.04583472,0.533388758,,,
4.06,974.4,2000,monitor_0,0.3123364,0.164793839,0.03488879,0.406008553,,,
4.26,1022.4,2000,monitor_0,0.3652995,0.192738045,0.03773191,0.439094568,,,
4.46,1070.4,2000,monitor_0,0.7456074,0.393394769,0.05389803,0.627223276,,,
4.66,1118.4,2000,monitor_0,0.9206647,0.485757889,0.05989926,0.697060915,,,
4.86,1166.4,2000,monitor_0,1.273134,0.671726509,0.07044673,0.819804153,,,
5.059999,1214.39976,2000,monitor_0,1.272621,0.671455842,0.07043674,0.819687897,,,
5.259999,1262.39976,2000,monitor_0,1.317781,0.695283003,0.07167529,0.834101177,,,
5.459999,1310.39976,2000,monitor_0,1.1364,0.599583394,0.0665548,0.774512904,,,
5.659999,1358.39976,2000,monitor_0,0.6145793,0.324262181,0.04894255,0.569555261,,,
5.859999,1406.39976,2000,monitor_0,0.3004726,0.158534302,0.03422372,0.398268987,,,
6.059999,1454.39976,2000,monitor_0,0.218734,0.115407668,0.02920067,0.339814645,,,
6.259998,1502.39952,2000,monitor_0,0.1775063,0.093655253,0.02630542,0.306121981,,,
6.459998,1550.39952,2000,monitor_0,0.1517512,0.080066437,0.02432241,0.283045256,,,
6.659998,1598.39952,2000,monitor_0,0.1339409,0.070669429,0.02285064,0.265917943,,,
6.859998,1646.39952,2000,monitor_0,0.1211394,0.063915147,0.02173106,0.252889144,,,
7.059998,1694.39952,2000,monitor_0,0.1128152,0.059523161,0.02097101,0.244044274,,,
7.259997,1742.39928,2000,monitor_0,0.1070055,0.056457868,0.02042416,0.23768046,,,
7.459997,1790.39928,2000,monitor_0,0.1027924,0.054234967,0.0200183,0.232957377,,,
7.659997,1838.39928,2000,monitor_0,0.1000366,0.052780961,0.01974834,0.229815793,,,
7.859997,1886.39928,2000,monitor_0,0.09873912,0.052096389,0.01962001,0.228322389,,,
8.059997,1934.39928,2000,monitor_0,0.09898841,0.052227919,0.01964484,0.228611341,,,
8.259996,1982.39904,2000,monitor_0,0.1011109,0.053347779,0.01985427,0.231048524,,,
8.459996,2030.39904,2000,monitor_0,0.105703,0.055770647,0.02029983,0.236233604,,,
8.659996,2078.39904,2000,monitor_0,0.1202688,0.063455804,0.02164693,0.251910104,,,
8.859996,2126.39904,2000,monitor_0,0.1471443,0.077635761,0.02393986,0.278593437,,,
9.059996,2174.39904,2000,monitor_0,0.1879708,0.099176496,0.0270575,0.314874102,,,
9.259995,2222.3988,2000,monitor_0,0.2204598,0.116318229,0.02930374,0.341014093,,,
9.459995,2270.3988,2000,monitor_0,0.2466065,0.130113659,0.03099733,0.360722774,,,
9.659995,2318.3988,2000,monitor_0,0.2653321,0.139993595,0.03215264,0.374167371,,,
9.859995,2366.3988,2000,monitor_0,0.2922542,0.154198139,0.03374834,0.392736885,,,
10.05999,2414.3976,2000,monitor_0,0.3003718,0.158481119,0.03421479,0.398165066,,,
10.25999,2462.3976,2000,monitor_0,0.3028831,0.159806122,0.03436016,0.399856769,,,
10.45999,2510.3976,2000,monitor_0,0.3205076,0.169105099,0.03534625,0.411332116,,,
10.65999,2558.3976,2000,monitor_0,0.317339,0.167433293,0.03517137,0.409296999,,,
