Lambda,LambdaNM,,timeSteps,maxRMS,maxValue
1.1,264,,2500,0.05312642,0.8481554
1.2,288,,2500,0.09426151,2.673936
1.3,312,,2500,0.07418102,1.653689
1.4,336,,2500,0.08284181,2.062303
1.5,360,,2500,0.06665824,1.335458
1.6,384,,2500,0.06990661,1.468524
1.7,408,,2500,0.07990408,1.918616
1.8,432.0001,,2500,0.05792037,1.008123
1.9,456.0001,,2500,0.08916706,2.389228
2,480.0001,,2500,0.03743808,0.4211858
2.1,504,,2500,0.05673588,0.9673008
2.2,528,,2500,0.0646425,1.255867
2.3,552,,2500,0.06451208,1.250681
2.4,575.9999,,2500,0.05569368,0.9320866
2.5,599.9999,,2500,0.06690393,1.34508
2.6,623.9999,,2500,0.03326526,0.3325268
2.7,647.9999,,2500,0.02777269,0.2317837
2.799999,671.9999,,2500,0.03444972,0.3566698
2.899999,695.9999,,2500,0.05307898,0.8466882
2.999999,719.9998,,2500,0.05236789,0.8240915
3.099999,743.9998,,2500,0.04596715,0.6349521
3.199999,767.9998,,2500,0.04601362,0.6362425
3.299999,791.9998,,2500,0.07280014,1.592623
3.399999,815.9998,,2500,0.08847334,2.352186
3.499999,839.9997,,2500,0.1009333,3.061368
3.599999,863.9997,,2500,0.0755154,1.713629
3.699999,887.9997,,2500,0.05695026,0.974623
3.799999,911.9996,,2500,0.05113835,0.785849
3.899998,935.9996,,2500,0.04209885,0.53258
3.999998,959.9996,,2500,0.03492639,0.3665658
4.099998,983.9996,,2500,0.03553787,0.3795135
4.199998,1008,,2500,0.03688232,0.4087718
4.299998,1032,,2500,0.04151418,0.5178913
4.399998,1056,,2500,0.05497627,0.9082285
4.499998,1080,,2500,0.06072544,1.10812
4.599998,1104,,2500,0.06111086,1.122231
4.699998,1128,,2500,0.06344733,1.209685
4.799998,1152,,2500,0.07031537,1.485748
4.899998,1176,,2500,0.07200336,1.557938
4.999998,1199.999,,2500,0.06973422,1.461291
5.099998,1223.999,,2500,0.07335205,1.616849
5.199997,1247.999,,2500,0.07110823,1.519446
5.299997,1271.999,,2500,0.07042184,1.490252
5.399997,1295.999,,2500,0.07129024,1.527231
5.499997,1319.999,,2500,0.06824789,1.399662
5.599997,1343.999,,2500,0.0589438,1.044051
5.699997,1367.999,,2500,0.04560965,0.6251151
5.799997,1391.999,,2500,0.03659028,0.4023267
5.899997,1415.999,,2500,0.03163832,0.3007962
5.999997,1439.999,,2500,0.02954933,0.2623863
6.099997,1463.999,,2500,0.02791318,0.2341339
6.199996,1487.999,,2500,0.02661524,0.2128662
6.299996,1511.999,,2500,0.02554891,0.196151
6.399996,1535.999,,2500,0.02464222,0.1824758
6.499996,1559.999,,2500,0.02385537,0.1710085
6.599996,1583.999,,2500,0.02316547,0.1612605
6.699996,1607.999,,2500,0.02255542,0.1528788
6.799996,1631.999,,2500,0.02201037,0.1455795
6.899996,1655.999,,2500,0.02151896,0.1391515
6.999996,1679.999,,2500,0.0210731,0.133445
7.099996,1703.999,,2500,0.02066773,0.1283604
7.199996,1727.999,,2500,0.02029896,0.1238206
7.299995,1751.999,,2500,0.01996285,0.119754
7.399995,1775.999,,2500,0.01965564,0.1160965
7.499995,1799.999,,2500,0.01937458,0.1128001
7.599995,1823.999,,2500,0.01911932,0.1098474
7.699995,1847.999,,2500,0.01888992,0.1072272
7.799995,1871.999,,2500,0.01868664,0.1049317
7.899995,1895.999,,2500,0.01850981,0.1029553
7.999995,1919.999,,2500,0.01835965,0.1012916
8.099995,1943.999,,2500,0.01823661,0.09993845
8.199995,1967.999,,2500,0.01814311,0.09891633
8.299995,1991.999,,2500,0.01808521,0.098286
8.399996,2015.999,,2500,0.01807281,0.09815127
8.499996,2039.999,,2500,0.01811841,0.09864719
8.599997,2063.999,,2500,0.01823383,0.09990805
8.699997,2087.999,,2500,0.01842577,0.1020226
8.799997,2111.999,,2500,0.01908525,0.1094598
8.899998,2136,,2500,0.02018283,0.1224123
8.999998,2160,,2500,0.02135189,0.1370033
