Lambda,LambdaNM,timeSteps,maxRMS,maxValue
1,480,4000,0.2067111,8.631466
1.133333,544,4000,0.2933934,17.31902
1.266667,608,4000,0.2633721,13.95567
1.4,672,4000,0.257627,13.33652
1.533333,736,4000,0.1936271,7.520113
1.666667,800,4000,0.2058236,8.500098
1.8,864,4000,0.222173,9.940538
1.933333,928,4000,0.2083523,8.706949
2.066667,992,4000,0.1656324,5.500706
2.2,1056,4000,0.2128893,9.089721
2.333333,1120,4000,0.2216523,9.900541
2.466667,1184,4000,0.1999888,8.028064
2.6,1248,4000,0.2033352,8.292661
2.733334,1312,4000,0.2018846,8.250698
2.866667,1376,4000,0.204739,8.439651
3.000001,1440,4000,0.1836896,6.765351
3.133334,1504,4000,0.1720529,5.936341
3.266668,1568,4000,0.1752078,6.198609
3.400001,1632,4000,0.1712412,5.880768
3.533334,1696.001,4000,0.1658037,5.51193
3.666668,1760.001,4000,0.1660453,5.528903
3.800001,1824.001,4000,0.1711837,5.876051
3.933335,1888.001,4000,0.1540937,4.762138
4.066668,1952.001,4000,0.1602848,5.162245
4.200001,2016.001,4000,0.1730312,6.00302
4.333334,2080,4000,0.1583966,5.030468
4.466668,2144,4000,0.1548407,4.807387
4.600001,2208,4000,0.1500429,4.514027
4.733334,2272,4000,0.1454126,4.239855
4.866667,2336,4000,0.140699,3.97029
